Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2019,December,4 Western,Total," 64,069 "," 6,340.1 "
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 1,359 ",
2019,December,Justice Institutions and Immigration Facilities,Total," 1,359 ",
2019,December,Unincorporated Vic, Unincorporated Vic, 108 ,
2019,December,Unincorporated Vic,Total, 108 ,
2018,December,1 North West Metro, Banyule," 7,169 "," 5,504.6 "
2018,December,1 North West Metro, Brimbank," 14,577 "," 6,984.2 "
2018,December,1 North West Metro, Darebin," 11,606 "," 7,181.5 "
2018,December,1 North West Metro, Hobsons Bay," 4,813 "," 4,989.1 "
2018,December,1 North West Metro, Hume," 15,547 "," 6,928.4 "
2018,December,1 North West Metro, Maribyrnong," 6,939 "," 7,593.0 "
2018,December,1 North West Metro, Melbourne," 26,910 "," 15,833.0 "
2018,December,1 North West Metro, Melton," 8,047 "," 5,134.9 "
2018,December,1 North West Metro, Moonee Valley," 6,684 "," 5,226.7 "
2018,December,1 North West Metro, Moreland," 11,612 "," 6,389.9 "
2018,December,1 North West Metro, Nillumbik," 1,647 "," 2,536.1 "
2018,December,1 North West Metro, Whittlesea," 11,778 "," 5,274.0 "
2018,December,1 North West Metro, Wyndham," 11,290 "," 4,421.9 "
2018,December,1 North West Metro, Yarra," 11,314 "," 11,483.8 "
2018,December,1 North West Metro,Total," 149,933 "," 6,842.5 "
2018,December,2 Eastern, Alpine, 393 ," 3,087.2 "
2018,December,2 Eastern, Bass Coast," 1,661 "," 4,701.8 "
2018,December,2 Eastern, Baw Baw," 3,167 "," 6,088.6 "
2018,December,2 Eastern, Benalla, 875 ," 6,239.3 "
2018,December,2 Eastern, Boroondara," 5,597 "," 3,087.3 "
2018,December,2 Eastern, East Gippsland," 3,177 "," 6,785.9 "
2018,December,2 Eastern, Greater Shepparton," 6,197 "," 9,388.4 "
2018,December,2 Eastern, Indigo, 342 ," 2,074.0 "
2018,December,2 Eastern, Knox," 8,075 "," 4,947.8 "
2018,December,2 Eastern, Latrobe," 9,909 "," 13,174.9 "
2018,December,2 Eastern, Manningham," 3,347 "," 2,666.8 "
2018,December,2 Eastern, Mansfield, 333 ," 3,708.7 "
2018,December,2 Eastern, Maroondah," 5,914 "," 5,033.3 "
2018,December,2 Eastern, Mitchell," 3,000 "," 6,772.2 "
2018,December,2 Eastern, Moira," 1,566 "," 5,255.2 "
2018,December,2 Eastern, Monash," 8,234 "," 4,115.4 "
2018,December,2 Eastern, Murrindindi, 571 ," 3,943.9 "
2018,December,2 Eastern, South Gippsland," 1,023 "," 3,458.9 "
2018,December,2 Eastern, Strathbogie, 440 ," 4,133.4 "
2018,December,2 Eastern, Towong, 178 ," 2,940.2 "
2018,December,2 Eastern, Wangaratta," 1,740 "," 5,982.1 "
2018,December,2 Eastern, Wellington," 2,825 "," 6,417.7 "
2018,December,2 Eastern, Whitehorse," 6,259 "," 3,552.3 "
2018,December,2 Eastern, Wodonga," 2,385 "," 5,756.8 "
2018,December,2 Eastern, Yarra Ranges," 5,541 "," 3,503.1 "
2018,December,2 Eastern,Total," 82,749 "," 4,870.7 "
2018,December,3 Southern Metro, Bayside," 3,696 "," 3,496.1 "
2018,December,3 Southern Metro, Cardinia," 4,502 "," 4,202.8 "
2018,December,3 Southern Metro, Casey," 15,967 "," 4,690.4 "
2018,December,3 Southern Metro, Frankston," 11,300 "," 7,966.4 "
2018,December,3 Southern Metro, Glen Eira," 4,978 "," 3,235.5 "
2018,December,3 Southern Metro, Greater Dandenong," 14,082 "," 8,478.3 "
2018,December,3 Southern Metro, Kingston," 8,532 "," 5,220.6 "
2018,December,3 Southern Metro, Mornington Peninsula," 8,138 "," 4,907.7 "
2018,December,3 Southern Metro, Port Phillip," 9,958 "," 8,796.8 "
2018,December,3 Southern Metro, Stonnington," 8,340 "," 7,176.8 "
2018,December,3 Southern Metro,Total," 89,493 "," 5,686.7 "
2018,December,4 Western, Ararat, 900 ," 7,630.4 "
2018,December,4 Western, Ballarat," 8,058 "," 7,508.0 "
2018,December,4 Western, Buloke, 182 ," 2,943.1 "
2018,December,4 Western, Campaspe," 2,842 "," 7,560.1 "
2018,December,4 Western, Central Goldfields, 970 ," 7,343.5 "
2018,December,4 Western, Colac-Otway," 1,269 "," 5,901.5 "
2018,December,4 Western, Corangamite, 539 ," 3,339.5 "
2018,December,4 Western, Gannawarra, 520 ," 4,930.3 "
2018,December,4 Western, Glenelg," 1,033 "," 5,253.0 "
2018,December,4 Western, Golden Plains, 509 ," 2,201.6 "
2018,December,4 Western, Greater Bendigo," 7,737 "," 6,667.2 "
2018,December,4 Western, Greater Geelong," 16,023 "," 6,352.9 "
2018,December,4 Western, Hepburn, 602 ," 3,807.2 "
2018,December,4 Western, Hindmarsh, 256 ," 4,535.0 "
2018,December,4 Western, Horsham," 1,576 "," 7,929.6 "
2018,December,4 Western, Loddon, 390 ," 5,191.0 "
2018,December,4 Western, Macedon Ranges," 1,661 "," 3,363.2 "
2018,December,4 Western, Mildura," 5,551 "," 9,999.1 "
2018,December,4 Western, Moorabool," 1,765 "," 5,167.2 "
2018,December,4 Western, Mount Alexander, 691 ," 3,541.0 "
2018,December,4 Western, Moyne, 428 ," 2,534.5 "
2018,December,4 Western, Northern Grampians, 764 ," 6,683.6 "
2018,December,4 Western, Pyrenees, 340 ," 4,624.0 "
2018,December,4 Western, Queenscliffe, 101 ," 3,387.0 "
2018,December,4 Western, Southern Grampians," 1,112 "," 6,891.9 "
2018,December,4 Western, Surf Coast, 879 ," 2,725.5 "
2018,December,4 Western, Swan Hill," 1,782 "," 8,584.2 "
2018,December,4 Western, Warrnambool," 2,908 "," 8,341.5 "
2018,December,4 Western, West Wimmera, 128 ," 3,314.3 "
2018,December,4 Western, Yarriambiack, 335 ," 5,031.5 "
2018,December,4 Western,Total," 61,851 "," 6,210.3 "
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 1,499 ",
2018,December,Justice Institutions and Immigration Facilities,Total," 1,499 ",
2018,December,Unincorporated Vic, Unincorporated Vic, 95 ,
2018,December,Unincorporated Vic,Total, 95 ,
2017,December,1 North West Metro, Banyule," 7,434 "," 5,757.7 "
2017,December,1 North West Metro, Brimbank," 13,248 "," 6,400.1 "
2017,December,1 North West Metro, Darebin," 11,444 "," 7,208.8 "
2017,December,1 North West Metro, Hobsons Bay," 4,908 "," 5,162.5 "
2017,December,1 North West Metro, Hume," 15,049 "," 6,991.8 "
2017,December,1 North West Metro, Maribyrnong," 6,466 "," 7,235.7 "
2017,December,1 North West Metro, Melbourne," 26,519 "," 16,663.8 "
2017,December,1 North West Metro, Melton," 8,046 "," 5,413.9 "
2017,December,1 North West Metro, Moonee Valley," 6,667 "," 5,316.1 "
2017,December,1 North West Metro, Moreland," 10,525 "," 5,947.2 "
2017,December,1 North West Metro, Nillumbik," 1,845 "," 2,855.2 "
2017,December,1 North West Metro, Whittlesea," 11,344 "," 5,259.5 "
2017,December,1 North West Metro, Wyndham," 10,859 "," 4,504.5 "
2017,December,1 North West Metro, Yarra," 10,562 "," 11,002.8 "
2017,December,1 North West Metro,Total," 144,916 "," 6,829.1 "
2017,December,2 Eastern, Alpine, 310 ," 2,452.9 "
2017,December,2 Eastern, Bass Coast," 1,936 "," 5,630.2 "
2017,December,2 Eastern, Baw Baw," 2,766 "," 5,458.2 "
2017,December,2 Eastern, Benalla, 975 ," 6,977.2 "
2017,December,2 Eastern, Boroondara," 5,740 "," 3,194.6 "
2017,December,2 Eastern, East Gippsland," 2,973 "," 6,444.0 "
2017,December,2 Eastern, Greater Shepparton," 5,940 "," 9,061.2 "
2017,December,2 Eastern, Indigo, 377 ," 2,308.2 "
2017,December,2 Eastern, Knox," 8,431 "," 5,209.9 "
2017,December,2 Eastern, Latrobe," 9,283 "," 12,392.5 "
2017,December,2 Eastern, Manningham," 3,699 "," 2,976.6 "
2017,December,2 Eastern, Mansfield, 494 ," 5,616.2 "
2017,December,2 Eastern, Maroondah," 6,301 "," 5,416.9 "
2017,December,2 Eastern, Mitchell," 3,059 "," 7,130.0 "
2017,December,2 Eastern, Moira," 1,451 "," 4,893.4 "
2017,December,2 Eastern, Monash," 8,175 "," 4,151.4 "
2017,December,2 Eastern, Murrindindi, 546 ," 3,835.9 "
2017,December,2 Eastern, South Gippsland," 1,004 "," 3,424.2 "
2017,December,2 Eastern, Strathbogie, 438 ," 4,177.8 "
2017,December,2 Eastern, Towong, 174 ," 2,881.3 "
2017,December,2 Eastern, Wangaratta," 1,779 "," 6,165.7 "
2017,December,2 Eastern, Wellington," 2,723 "," 6,216.8 "
2017,December,2 Eastern, Whitehorse," 6,512 "," 3,758.4 "
2017,December,2 Eastern, Wodonga," 2,424 "," 5,939.4 "
2017,December,2 Eastern, Yarra Ranges," 5,720 "," 3,646.4 "
2017,December,2 Eastern,Total," 83,230 "," 4,958.2 "
2017,December,3 Southern Metro, Bayside," 3,831 "," 3,673.7 "
2017,December,3 Southern Metro, Cardinia," 4,340 "," 4,238.2 "
2017,December,3 Southern Metro, Casey," 15,076 "," 4,613.6 "
2017,December,3 Southern Metro, Frankston," 10,704 "," 7,606.7 "
2017,December,3 Southern Metro, Glen Eira," 5,349 "," 3,531.7 "
2017,December,3 Southern Metro, Greater Dandenong," 13,668 "," 8,358.7 "
2017,December,3 Southern Metro, Kingston," 7,696 "," 4,778.6 "
2017,December,3 Southern Metro, Mornington Peninsula," 8,465 "," 5,166.8 "
2017,December,3 Southern Metro, Port Phillip," 9,689 "," 8,756.0 "
2017,December,3 Southern Metro, Stonnington," 7,895 "," 6,939.3 "
2017,December,3 Southern Metro,Total," 86,713 "," 5,636.3 "
2017,December,4 Western, Ararat, 912 ," 7,757.7 "
2017,December,4 Western, Ballarat," 8,958 "," 8,497.3 "
2017,December,4 Western, Buloke, 158 ," 2,546.3 "
2017,December,4 Western, Campaspe," 2,505 "," 6,662.8 "
2017,December,4 Western, Central Goldfields, 859 ," 6,533.3 "
2017,December,4 Western, Colac-Otway," 1,381 "," 6,444.2 "
2017,December,4 Western, Corangamite, 709 ," 4,373.8 "
2017,December,4 Western, Gannawarra, 444 ," 4,201.0 "
2017,December,4 Western, Glenelg," 1,243 "," 6,312.2 "
2017,December,4 Western, Golden Plains, 499 ," 2,211.1 "
2017,December,4 Western, Greater Bendigo," 7,201 "," 6,311.6 "
2017,December,4 Western, Greater Geelong," 17,117 "," 6,965.8 "
2017,December,4 Western, Hepburn, 660 ," 4,222.9 "
2017,December,4 Western, Hindmarsh, 278 ," 4,861.8 "
2017,December,4 Western, Horsham," 1,575 "," 7,920.5 "
2017,December,4 Western, Loddon, 295 ," 3,929.7 "
2017,December,4 Western, Macedon Ranges," 1,599 "," 3,302.2 "
2017,December,4 Western, Mildura," 4,804 "," 8,712.1 "
2017,December,4 Western, Moorabool," 1,738 "," 5,197.1 "
2017,December,4 Western, Mount Alexander, 772 ," 4,000.6 "
2017,December,4 Western, Moyne, 465 ," 2,769.0 "
2017,December,4 Western, Northern Grampians, 842 ," 7,310.9 "
2017,December,4 Western, Pyrenees, 357 ," 4,851.9 "
2017,December,4 Western, Queenscliffe, 126 ," 4,258.2 "
2017,December,4 Western, Southern Grampians, 984 ," 6,103.1 "
2017,December,4 Western, Surf Coast, 996 ," 3,177.3 "
2017,December,4 Western, Swan Hill," 1,773 "," 8,504.8 "
2017,December,4 Western, Warrnambool," 2,650 "," 7,665.8 "
2017,December,4 Western, West Wimmera, 126 ," 3,235.7 "
2017,December,4 Western, Yarriambiack, 355 ," 5,311.2 "
2017,December,4 Western,Total," 62,381 "," 6,355.4 "
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 1,471 ",
2017,December,Justice Institutions and Immigration Facilities,Total," 1,471 ",
2017,December,Unincorporated Vic, Unincorporated Vic, 119 ,
2017,December,Unincorporated Vic,Total, 119 ,
2016,December,1 North West Metro, Banyule," 7,482 "," 5,870.7 "
2016,December,1 North West Metro, Brimbank," 15,097 "," 7,393.6 "
2016,December,1 North West Metro, Darebin," 13,228 "," 8,527.3 "
2016,December,1 North West Metro, Hobsons Bay," 5,340 "," 5,714.6 "
2016,December,1 North West Metro, Hume," 17,661 "," 8,530.2 "
2016,December,1 North West Metro, Maribyrnong," 7,190 "," 8,269.9 "
2016,December,1 North West Metro, Melbourne," 28,257 "," 19,341.4 "
2016,December,1 North West Metro, Melton," 9,066 "," 6,410.7 "
2016,December,1 North West Metro, Moonee Valley," 7,739 "," 6,298.5 "
2016,December,1 North West Metro, Moreland," 12,122 "," 7,035.6 "
2016,December,1 North West Metro, Nillumbik," 2,264 "," 3,527.9 "
2016,December,1 North West Metro, Whittlesea," 13,080 "," 6,317.1 "
2016,December,1 North West Metro, Wyndham," 12,372 "," 5,450.0 "
2016,December,1 North West Metro, Yarra," 11,293 "," 12,156.9 "
2016,December,1 North West Metro,Total," 162,191 "," 7,919.5 "
2016,December,2 Eastern, Alpine, 267 ," 2,122.8 "
2016,December,2 Eastern, Bass Coast," 2,070 "," 6,185.8 "
2016,December,2 Eastern, Baw Baw," 2,921 "," 5,925.4 "
2016,December,2 Eastern, Benalla," 1,019 "," 7,287.9 "
2016,December,2 Eastern, Boroondara," 7,056 "," 3,980.2 "
2016,December,2 Eastern, East Gippsland," 3,096 "," 6,789.5 "
2016,December,2 Eastern, Greater Shepparton," 6,329 "," 9,726.1 "
2016,December,2 Eastern, Indigo, 319 ," 1,973.4 "
2016,December,2 Eastern, Knox," 9,170 "," 5,718.6 "
2016,December,2 Eastern, Latrobe," 10,452 "," 14,006.6 "
2016,December,2 Eastern, Manningham," 3,961 "," 3,231.6 "
2016,December,2 Eastern, Mansfield, 481 ," 5,545.3 "
2016,December,2 Eastern, Maroondah," 6,767 "," 5,894.6 "
2016,December,2 Eastern, Mitchell," 3,228 "," 7,723.4 "
2016,December,2 Eastern, Moira," 1,369 "," 4,642.9 "
2016,December,2 Eastern, Monash," 8,961 "," 4,652.0 "
2016,December,2 Eastern, Murrindindi, 547 ," 3,892.7 "
2016,December,2 Eastern, South Gippsland," 1,139 "," 3,911.1 "
2016,December,2 Eastern, Strathbogie, 479 ," 4,624.9 "
2016,December,2 Eastern, Towong, 176 ," 2,911.0 "
2016,December,2 Eastern, Wangaratta," 1,811 "," 6,333.9 "
2016,December,2 Eastern, Wellington," 3,318 "," 7,622.3 "
2016,December,2 Eastern, Whitehorse," 6,358 "," 3,747.9 "
2016,December,2 Eastern, Wodonga," 2,496 "," 6,224.4 "
2016,December,2 Eastern, Yarra Ranges," 6,454 "," 4,157.8 "
2016,December,2 Eastern,Total," 90,244 "," 5,452.7 "
2016,December,3 Southern Metro, Bayside," 4,207 "," 4,088.0 "
2016,December,3 Southern Metro, Cardinia," 5,384 "," 5,517.9 "
2016,December,3 Southern Metro, Casey," 18,202 "," 5,819.3 "
2016,December,3 Southern Metro, Frankston," 12,491 "," 8,954.0 "
2016,December,3 Southern Metro, Glen Eira," 5,676 "," 3,820.1 "
2016,December,3 Southern Metro, Greater Dandenong," 15,470 "," 9,655.4 "
2016,December,3 Southern Metro, Kingston," 8,656 "," 5,446.0 "
2016,December,3 Southern Metro, Mornington Peninsula," 9,118 "," 5,644.8 "
2016,December,3 Southern Metro, Port Phillip," 10,486 "," 9,653.2 "
2016,December,3 Southern Metro, Stonnington," 9,181 "," 8,270.9 "
2016,December,3 Southern Metro,Total," 98,871 "," 6,584.0 "
2016,December,4 Western, Ararat, 868 ," 7,390.4 "
2016,December,4 Western, Ballarat," 9,475 "," 9,154.6 "
2016,December,4 Western, Buloke, 169 ," 2,689.4 "
2016,December,4 Western, Campaspe," 2,815 "," 7,487.7 "
